source_input,Example,metric,n,mean,sample_std,median,min,max,ci95_low,ci95_high
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg2_sg3.csv,-1,recall,160,0.041843220338982995,0.026197021626873016,0.0338983050847457,0.0169491525423728,0.1694915254237288,0.037783949782556184,0.045902490895409806
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg2_sg3.csv,1,recall,160,0.04131355932203385,0.028175205828225282,0.0338983050847457,0.0,0.1694915254237288,0.036947765947932955,0.045679352696134747
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg3_sg1.csv,-1,accuracy,160,0.8823665433403806,0.22855036491307423,0.9408033826638478,0.0,0.9460887949260042,0.8469522973941712,0.9177807892865899
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg3_sg1.csv,1,accuracy,160,0.7948929704016913,0.34314447239121443,0.9418604651162792,0.0,0.945031712473573,0.7417221835382941,0.8480637572650884
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg3_sg1.csv,-1,precision,160,0.06470352564102563,0.18640735617409188,0.0,0.0,1.0,0.03581940655312697,0.0935876447289243
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg3_sg1.csv,1,precision,160,0.03861607142857142,0.10424902084033527,0.0,0.0,0.5,0.022462518293378243,0.05476962456376461
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg3_sg1.csv,-1,recall,160,0.0048076923076923,0.010784079886385457,0.0,0.0,0.0384615384615384,0.003136681817093094,0.006478702798291507
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg3_sg1.csv,1,recall,160,0.0030048076923076877,0.007004465353537952,0.0,0.0,0.0192307692307692,0.0019194545411707806,0.004090160843444594
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg1_sg2.csv,-1,accuracy,160,0.9357751623376623,0.005445921894099594,0.935064935064935,0.922077922077922,0.9448051948051948,0.9349313079975704,0.9366190166777543
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg1_sg2.csv,1,accuracy,160,0.9341517857142858,0.0074730071927160266,0.9366883116883118,0.9155844155844156,0.9448051948051948,0.9329938312529954,0.9353097401755762
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg1_sg2.csv,-1,precision,160,0.4646673536838978,0.08955719730906012,0.44949494949494945,0.2857142857142857,0.625,0.4507903221903689,0.47854438517742665
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg1_sg2.csv,1,precision,160,0.44911201951643126,0.11652514098899394,0.4807692307692307,0.2222222222222222,0.6666666666666666,0.4310562618567554,0.46716777717610714
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg1_sg2.csv,-1,recall,160,0.20559210526315783,0.06379379613983456,0.2105263157894736,0.1052631578947368,0.3157894736842105,0.19570715414003143,0.21547705638628423
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg1_sg2.csv,1,recall,160,0.21052631578947362,0.05902864779916258,0.2105263157894736,0.1052631578947368,0.3157894736842105,0.2013797320514569,0.21967289952749033
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg2_sg3.csv,-1,accuracy,160,0.8977886212624584,0.003951741236444344,0.8986710963455149,0.8870431893687708,0.903654485049834,0.8971762926139505,0.8984009499109663
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg2_sg3.csv,1,accuracy,160,0.8972695182724252,0.003335536658794168,0.8986710963455149,0.8887043189368771,0.9019933554817277,0.8967526715124471,0.8977863650324033
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg2_sg3.csv,-1,precision,160,0.31599208083583086,0.12032568304291498,0.3333333333333333,0.1428571428571428,0.6666666666666666,0.29734742308370643,0.3346367385879553
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg2_sg3.csv,1,precision,160,0.3002570346320346,0.09512449825378476,0.3333333333333333,0.1,0.5,0.2855173409196638,0.31499672834440545
