source_input,Tag/Adjacency(1/-1),metric,n,mean,sample_std,median,min,max,ci95_low,ci95_high
data/results/algo2/gpt-5/evaluated/metrics_sg3_sg1.csv,1,accuracy,160,0.9355510042283297,0.009913776200579514,0.937632135306554,0.912262156448203,0.9503171247357294,0.9340148486909866,0.9370871597656728
data/results/algo2/gpt-5/evaluated/metrics_sg3_sg1.csv,-1,precision,160,0.3576093139543951,0.13937839013099462,0.3333333333333333,0.0769230769230769,0.6666666666666666,0.33601240865274273,0.37920621925604747
data/results/algo2/gpt-5/evaluated/metrics_sg3_sg1.csv,1,precision,160,0.3171214053031889,0.15533566771326318,0.26969696969696966,0.0714285714285714,0.6923076923076923,0.29305189422317635,0.3411909163832014
data/results/algo2/gpt-5/evaluated/metrics_sg3_sg1.csv,-1,recall,160,0.10276442307692302,0.04539812651992082,0.0961538461538461,0.0192307692307692,0.2307692307692307,0.0957299104928583,0.10979893566098774
data/results/algo2/gpt-5/evaluated/metrics_sg3_sg1.csv,1,recall,160,0.09975961538461534,0.049989183266736195,0.0961538461538461,0.0192307692307692,0.2692307692307692,0.09201371118738666,0.10750551958184401
data/results/algo2/openai-gpt-4o/evaluated/metrics_sg1_sg2.csv,-1,accuracy,160,0.8839285714285714,0.22900038782708673,0.9415584415584416,0.0,0.9545454545454546,0.8484445937093923,0.9194125491477505
data/results/algo2/openai-gpt-4o/evaluated/metrics_sg1_sg2.csv,1,accuracy,160,0.9429788961038961,0.006143981771148865,0.9448051948051948,0.9285714285714286,0.9545454545454546,0.9420268762652262,0.943930915942566
data/results/algo2/openai-gpt-4o/evaluated/metrics_sg1_sg2.csv,-1,precision,160,0.6677083333333333,0.29093386529629095,0.6666666666666666,0.0,1.0,0.6226276638555014,0.7127890028111653
data/results/algo2/openai-gpt-4o/evaluated/metrics_sg1_sg2.csv,1,precision,160,0.7307291666666667,0.3008580024671066,0.8,0.0,1.0,0.6841107362025205,0.7773475971308128
data/results/algo2/openai-gpt-4o/evaluated/metrics_sg1_sg2.csv,-1,recall,160,0.12499999999999996,0.06566522527551781,0.1052631578947368,0.0,0.2631578947368421,0.11482506792800395,0.13517493207199596
data/results/algo2/openai-gpt-4o/evaluated/metrics_sg1_sg2.csv,1,recall,160,0.12499999999999996,0.0615570030243096,0.1052631578947368,0.0,0.2631578947368421,0.11546164356095606,0.13453835643904385
data/results/algo2/openai-gpt-4o/evaluated/metrics_sg2_sg3.csv,-1,accuracy,160,0.4223421926910299,0.4510315442025,0.0,0.0,0.9053156146179402,0.3524541308541521,0.4922302545279077
data/results/algo2/openai-gpt-4o/evaluated/metrics_sg2_sg3.csv,1,accuracy,160,0.6186150332225914,0.4183840915341557,0.8986710963455149,0.0,0.9053156146179402,0.5537857465872046,0.6834443198579782
data/results/algo2/openai-gpt-4o/evaluated/metrics_sg2_sg3.csv,-1,precision,160,0.1,0.26750392670694356,0.0,0.0,1.0,0.05854983711979834,0.14145016288020168
data/results/algo2/openai-gpt-4o/evaluated/metrics_sg2_sg3.csv,1,precision,160,0.11510416666666665,0.227378313690395,0.0,0.0,1.0,0.07987153193896185,0.15033680139437144
data/results/algo2/openai-gpt-4o/evaluated/metrics_sg2_sg3.csv,-1,recall,160,0.00423728813559321,0.01041178164125339,0.0,0.0,0.0338983050847457,0.002623965855745554,0.005850610415440866
data/results/algo2/openai-gpt-4o/evaluated/metrics_sg2_sg3.csv,1,recall,160,0.007944915254237269,0.01531651466600985,0.0,0.0,0.0677966101694915,0.005571596718399019,0.010318233790075518
data/results/algo2/openai-gpt-4o/evaluated/metrics_sg3_sg1.csv,-1,accuracy,160,0.4131540697674419,0.46994412502082605,0.0,0.0,0.9460887949260042,0.34033547317148594,0.48597266636339786
data/results/algo2/openai-gpt-4o/evaluated/metrics_sg3_sg1.csv,1,accuracy,160,0.46736257928118397,0.4694469690764875,0.40169133192389006,0.0,0.945031712473573,0.39462101779691167,0.5401041407654562
data/results/algo2/openai-gpt-4o/evaluated/metrics_sg3_sg1.csv,-1,precision,160,0.12291666666666667,0.2534785940154299,0.0,0.0,1.0,0.08363975160255835,0.162193581730775
data/results/algo2/openai-gpt-4o/evaluated/metrics_sg3_sg1.csv,1,precision,160,0.08448660714285713,0.14657288424469672,0.0,0.0,0.5,0.06177490342861808,0.10719831085709619
data/results/algo2/openai-gpt-4o/evaluated/metrics_sg3_sg1.csv,-1,recall,160,0.006610576923076912,0.014150894939318847,0.0,0.0,0.0576923076923076,0.004417873035115021,0.008803280811038802
data/results/algo2/openai-gpt-4o/evaluated/metrics_sg3_sg1.csv,1,recall,160,0.016826923076923066,0.05721663279795321,0.0,0.0,0.3269230769230769,0.00796111397225885,0.025692732181587283
